frequency,raw
20.00,7.68
20.20,7.73
20.40,7.76
20.61,7.83
20.81,7.86
21.02,7.90
21.23,7.93
21.44,7.99
21.66,8.03
21.87,8.03
22.09,8.09
22.31,8.13
22.54,8.14
22.76,8.21
22.99,8.23
23.22,8.23
23.45,8.27
23.69,8.31
23.92,8.34
24.16,8.37
24.40,8.38
24.65,8.38
24.89,8.38
25.14,8.38
25.39,8.38
25.65,8.38
25.91,8.41
26.16,8.43
26.43,8.43
26.69,8.46
26.96,8.50
27.23,8.53
27.50,8.53
27.77,8.55
28.05,8.58
28.33,8.62
28.62,8.63
28.90,8.64
29.19,8.68
29.48,8.68
29.78,8.70
30.08,8.73
30.38,8.73
30.68,8.75
30.99,8.78
31.30,8.78
31.61,8.78
31.93,8.78
32.24,8.78
32.57,8.80
32.89,8.83
33.22,8.83
33.55,8.83
33.89,8.86
34.23,8.93
34.57,8.93
34.92,8.93
35.27,8.93
35.62,8.93
35.97,8.93
36.33,8.93
36.70,8.93
37.06,8.93
37.43,8.93
37.81,8.93
38.19,8.93
38.57,8.94
38.95,8.97
39.34,8.98
39.74,8.96
40.14,8.93
40.54,8.93
40.94,8.93
41.35,8.93
41.76,8.93
42.18,8.93
42.60,8.92
43.03,8.88
43.46,8.88
43.90,8.88
44.33,8.88
44.78,8.88
45.23,8.88
45.68,8.88
46.13,8.88
46.60,8.88
47.06,8.88
47.53,8.88
48.01,8.85
48.49,8.82
48.97,8.79
49.46,8.78
49.96,8.78
50.46,8.78
50.96,8.78
51.47,8.78
51.99,8.78
52.51,8.78
53.03,8.78
53.56,8.77
54.10,8.74
54.64,8.73
55.18,8.73
55.74,8.73
56.29,8.73
56.86,8.72
57.42,8.68
58.00,8.65
58.58,8.62
59.16,8.58
59.76,8.58
60.35,8.58
60.96,8.58
61.57,8.54
62.18,8.53
62.80,8.52
63.43,8.49
64.07,8.48
64.71,8.48
65.35,8.48
66.01,8.48
66.67,8.48
67.33,8.48
68.01,8.42
68.69,8.38
69.37,8.38
70.07,8.31
70.77,8.29
71.48,8.33
72.19,8.33
72.91,8.35
73.64,8.36
74.38,8.30
75.12,8.28
75.87,8.28
76.63,8.28
77.40,8.25
78.17,8.20
78.95,8.14
79.74,8.10
80.54,8.08
81.35,8.08
82.16,8.01
82.98,7.98
83.81,7.98
84.65,7.98
85.50,7.98
86.35,7.98
87.22,7.98
88.09,7.90
88.97,7.82
89.86,7.78
90.76,7.78
91.66,7.75
92.58,7.68
93.51,7.68
94.44,7.66
95.39,7.63
96.34,7.63
97.30,7.61
98.28,7.57
99.26,7.50
100.25,7.48
101.25,7.48
102.27,7.48
103.29,7.45
104.32,7.37
105.37,7.34
106.42,7.33
